,Papel,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,Liq.2meses
0,LIPR3,77.35,-381.56,5.16,0.0,0.0278,3.915,0.0,-103.98,0.0,-94.02,-94.18,0.0,0.0,0.0,0.0,-0.0135,4376.12
1,SQIA3,17.2,-265.0,2.81,6.928,0.0005,1.9569999999999999,3.55,-1389.97,5.93,-1068.34,64.32,-0.005,-0.0261,7.63,-0.0034,-0.0106,20658200.0
2,ANIM3,19.0,-218.97,3.04,1.778,0.0003,0.875,18.11,17.8,-1.68,26.8,13.12,0.0999,-0.0081,1.34,0.054000000000000006,-0.0139,25296400.0
3,MAPT4,36.49,-205.73,-6.01,0.0,0.0,43.382,0.0,-237.83,0.0,-237.83,-237.83,0.0,0.0,0.0,0.0,0.0292,2181.88
4,LPSB3,3.62,-124.74,2.99,3.6210000000000004,0.0,1.318,4.29,26.63,-15.22,19.34,9.46,0.136,-0.0188,2.83,0.0825,-0.024,5414360.0
5,BTOW3,57.73,-94.92,5.27,4.463,0.0,1.881,6.56,196.19,-33.92,195.86,44.57,0.0227,-0.047,1.95,0.0226,-0.0555,233669000.0
6,NORD3,4.0,-80.25,-0.19,19.502,0.0,1.579,-0.55,-30.44,-0.17,-73.24,-73.24,-0.6406,-0.243,0.02,-0.0529,0.0024,16707.6
7,PRNR3,8.85,-55.12,4.53,0.966,0.0021,1.406,10.3,48.36,-9.08,54.32,14.18,0.02,-0.031,1.34,0.0376,-0.0822,5781270.0
8,GOLL4,11.63,-35.26,-0.54,0.298,0.0,0.27,-0.76,2.28,-0.24,5.48,2.81,0.1308,0.0129,0.48,0.1589,0.0153,176687000.0
9,VALE3,43.28,-34.28,1.42,1.5390000000000001,0.0327,0.619,17.74,3.64,-1.59,4.12,3.34,0.423,-0.0585,1.23,0.1944,-0.0413,1661740000.0
10,MEAL3,2.64,-32.65,0.45,0.32299999999999995,0.0038,0.193,8.44,19.56,-0.53,28.21,6.91,0.0165,-0.0099,1.12,0.0122,-0.0138,12844400.0
11,GFSA3,3.7,-32.31,0.5,1.109,0.0,0.174,0.81,9.11,3.1,15.59,12.08,0.1218,-0.0352,1.44,0.0239,-0.0154,27311000.0
12,ECOR3,10.7,-32.23,13.13,1.5119999999999998,0.0,0.518,-3.56,4.97,-0.68,10.51,7.14,0.3043,-0.0469,0.58,0.1276,-0.4073,53816500.0
13,MILS3,4.71,-26.37,1.07,2.699,0.0,0.862,9.0,-37.66,31.65,-38.46,9.27,-0.0717,-0.1024,1.76,-0.0257,-0.0406,11777500.0
14,BRAP4,28.61,-24.7,1.04,0.0,0.0487,0.985,0.0,-580.63,0.0,-581.91,-581.91,0.0,0.0,0.0,0.0,-0.0422,76938600.0
15,RCSL4,1.08,-23.68,-1.22,4.388,0.0,2.109,-6.58,174.23,-0.91,174.02,104.99,0.0252,-0.1856,0.56,0.0124,0.0516,2230030.0
16,BRAP3,26.33,-22.73,0.96,0.0,0.0481,0.907,0.0,-534.36,0.0,-535.63,-535.63,0.0,0.0,0.0,0.0,-0.0422,1147490.0
17,IDVL4,2.62,-19.88,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0298,37736.0
